"Horodateur","Retourner au travail ou à l'école est-il une source de stress ?","Dans quelle catégorie socio-professionnelle vous situez-vous ?","Quel est votre niveau d’étude ?","Quel est votre sexe ?","Dans quelle tranche d'age vous situez vous?","Statut marital","Combien de personne compose votre foyer ?","Où habitez-vous ?","Vous vivez ...","Quel est votre mode de déplacement professionnel? ","Suite au confinement, pensez vous changer votre mode de déplacement?","Appréciez-vous le télétravail ?","Pensez-vous être plus productif en télétravail ?","Pourquoi ?","Veuillez répondre « Un peu » à cette question.","Selon vous combien de temps les mesures de gestes barrières devraient être appliquées ?","Qu'est ce qui, selon vous, pourrait améliorer le télétravail ?","Selon vous, après cet épisode de crise, quelle(s) mesure(s) devraient être prise(s) lors de votre retour sur votre lieu de travail ? "
"2020/06/15 9:42:34 AM UTC+2","1","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Féminin","18 - 25 ans","Célibataire","1","En milieu urbain","En appartement","En voiture / moto / scooter","5","2","4","","Un peu","Jusqu'à l'arrivée d'un vaccin","Avoir une pièce a part où travailler","Plus de bise le matin"
"2020/06/15 9:42:46 AM UTC+2","5","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","26 - 35 ans","En couple","2","En milieu urbain","En maison","En transport en commun","6","7","6","Au calme - moins de sollicitations externes","Un peu","Jusqu'à l'arrivée d'un vaccin","rien de particulier","Arrêter de se serrer la main / faire la bise qui sont des facteurs inutiles qui véhicule tout virus"
"2020/06/15 9:43:38 AM UTC+2","2","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Féminin","36 - 50 ans","En couple","4","En milieu rural","En maison avec jardin","En voiture / moto / scooter","1","5","4","Tout dépend si les enfants sont à la maison , ou à l'école ;)","Un peu","Au moins 6 mois","le retour à l'école","Il faut que l'entreprise ait un stock de masques, gel, lingettes car on a aura surement d'autres épisodes de virus. 
Nettoyage plus régulièrement des lieux communs pour qu'on accède notamment à la cafétaria"
"2020/06/15 9:43:40 AM UTC+2","2","Employé","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Féminin","26 - 35 ans","En couple","2","En milieu urbain","En appartement","À vélo","1","6","6","Moins de pause, de diversions, environnement plus calme, possibilité de faire une sieste ;)","Un peu","Jusqu'à l'arrivée d'un vaccin","Pauses café en visio avec les collègues, ca permet de garder le contact. Mise à disposition d'un matériel approprié pour chaque employé (2e écran, clavier, souris, support ordinateur, voire même une chaise confortable)","Limiter le nombre d'employés présent sur site. Port du masque."
"2020/06/15 9:44:38 AM UTC+2","3","Etudiant, lycéen","Bac+3/4 (Licence, Maîtrise)","Masculin","18 - 25 ans","Célibataire","3","En milieu périurbain","En maison avec jardin","En transport en commun","2","7","5","","Un peu","Au moins 3 mois","",""
"2020/06/15 9:48:30 AM UTC+2","5","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","26 - 35 ans","En couple","4","En milieu périurbain","En maison avec jardin","En voiture / moto / scooter","3","7","5","Moins de perte de temps. Sollicitations plus pertinentes.","Un peu","Jusqu'à l'arrivée d'un vaccin","",""
"2020/06/15 9:48:45 AM UTC+2","5","Cadre ou profession intellectuelle supérieure","Bac+2 (BTS ou autre)","Masculin","26 - 35 ans","En couple","5 ou plus","En milieu urbain","En maison avec jardin","En voiture / moto / scooter","2","7","6","","Un peu","Jusqu'à l'arrivée d'un vaccin","",""
"2020/06/15 9:50:53 AM UTC+2","4","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","26 - 35 ans","Célibataire","1","En milieu urbain","En appartement","En transport en commun","1","6","4","","Un peu","Jusqu'à l'arrivée d'un vaccin","Un bureau adapté","Encourager le télétravail à plus grande échelle"
"2020/06/15 9:54:57 AM UTC+2","4","Employé","Bac+2 (BTS ou autre)","Masculin","51 - 62 ans","En couple","3","En milieu rural","En maison avec jardin","En voiture / moto / scooter","6","6","5","moins déranger","Un peu","Au moins 6 mois","",""
"2020/06/15 9:56:07 AM UTC+2","1","Etudiant, lycéen","Bac+3/4 (Licence, Maîtrise)","Masculin","18 - 25 ans","Célibataire","5 ou plus","En milieu périurbain","En maison avec jardin","En transport en commun","1","5","3","","Un peu","0 c'est inutile","",""
