"Horodateur","Retourner au travail ou à l'école est-il une source de stress ?","Dans quelle catégorie socio-professionnelle vous situez-vous ?","Quel est votre niveau d’étude ?","Quel est votre sexe ?","Dans quelle tranche d'age vous situez vous?","Statut marital","Combien de personne compose votre foyer ?","Où habitez-vous ?","Vous vivez ...","Quel est votre mode de déplacement professionnel? ","Suite au confinement, pensez vous changer votre mode de déplacement?","Appréciez-vous le télétravail ?","Pensez-vous être plus productif en télétravail ?","Pourquoi ?","Veuillez répondre « Un peu » à cette question.","Selon vous combien de temps les mesures de gestes barrières devraient être appliquées ?","Qu'est ce qui, selon vous, pourrait améliorer le télétravail ?","Selon vous, après cet épisode de crise, quelle(s) mesure(s) devraient être prise(s) lors de votre retour sur votre lieu de travail ? "
"2020/06/15 12:53:51 PM UTC+2","1","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","26 - 35 ans","En couple","2","En milieu urbain","En appartement","À pied","1","5","5","Idem que sur lieu de travail","Souvent","Jusqu'à l'arrivée d'un vaccin","Une meilleure connexion internet","Augmentation du nombre de jour de télétravail autorisé"
"2020/06/15 12:58:14 PM UTC+2","1","Profession intermédiaire","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Féminin","26 - 35 ans","En couple","2","En milieu urbain","En appartement","À vélo","1","1","1","Je suis factrice en distribution","Un peu","Jusqu'à l'arrivée d'un vaccin","",""
"2020/06/15 1:02:09 PM UTC+2","1","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","18 - 25 ans","Célibataire","3","En milieu périurbain","En appartement","En voiture / moto / scooter","1","1","1","","Un peu","Au moins 6 mois","",""
"2020/06/15 1:08:36 PM UTC+2","5","Employé","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Féminin","18 - 25 ans","Célibataire","1","En milieu urbain","En appartement","En voiture / moto / scooter","2","5","5","Comme je vis seule je ne suis pas dérangée et lorsque je me concentre à fond dans le travail je travaille mieux et plus efficacement ","Un peu","Jusqu'à l'arrivée d'un vaccin","Les contacts avec les collègues et responsables plus réguliers
Une aide matérielle pour installer un bureau par exemple et avoir un vrai espace de travail chez soi (compliqué de travailler sur le canapé par exemple !)",""
"2020/06/15 1:16:22 PM UTC+2","1","Cadre ou profession intellectuelle supérieure","Bac (général, pro et technologique)","Masculin","36 - 50 ans","En couple","4","En milieu périurbain","En maison","En voiture / moto / scooter","6","7","7","Car je travaille depuis plusieurs années en télétravail","Un peu","Au moins 3 mois","aucune idée","aucune idée"
"2020/06/15 1:24:14 PM UTC+2","2","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Féminin","36 - 50 ans","En couple","3","En milieu urbain","En appartement","En transport en commun","2","5","5","C’est bien d’alterner les 2","Un peu","Au moins 3 mois","Plus d’interactions entre collègues pendant le télétravail pour être moins isolé ","Lavage de main et salutations sans se toucher"
"2020/06/15 2:09:36 PM UTC+2","3","Employé","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","26 - 35 ans","Célibataire","2","En milieu rural","En maison","En voiture / moto / scooter","1","4","3","","Un peu","Jusqu'à l'arrivée d'un vaccin","",""
"2020/06/15 2:37:36 PM UTC+2","3","Cadre ou profession intellectuelle supérieure","Bac+8 etc (Doctorat, post-doc, thèse)","Masculin","26 - 35 ans","En couple","1","En milieu urbain","En appartement","À pied","2","4","3","Manque du rituels “aller au travail”","Un peu","Au moins 3 mois","Rien","Ras"
"2020/06/15 2:37:47 PM UTC+2","2","Demandeur d’emploi","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","26 - 35 ans","Célibataire","1","En milieu urbain","En appartement avec balcon","À pied","1","7","7","Moins d'interruptions inutiles, choix de quand traiter ses interruptions (emails et chat privilégiés en télétravail)","Un peu","Au moins 1 an","Avoir une baignoire","Me laisser télétravailler en 100%"
"2020/06/15 5:18:37 PM UTC+2","4","Autres","Sans diplôme","Masculin","18 - 25 ans","Célibataire","3","En milieu rural","En maison avec jardin","À vélo","4","1","5","Plus de concentration moins de moyen de de disperser plus productif","Un peu","Au moins 6 mois","Des réunions de debut de journée des débriefings pour plus d'échange malgré la distance 
","Gestes barrières "
"2020/06/15 7:35:14 PM UTC+2","1","Artisan","CAP/BEP (autres diplômes techniques)","Masculin","26 - 35 ans","En couple","5 ou plus","En milieu rural","En maison avec jardin","En voiture / moto / scooter","2","1","1","Impossible ","Un peu","Au moins 3 mois","",""
"2020/06/15 8:34:41 PM UTC+2","1","Cadre ou profession intellectuelle supérieure","Bac+8 etc (Doctorat, post-doc, thèse)","Féminin","26 - 35 ans","En couple","2","En milieu périurbain","En maison avec jardin","En voiture / moto / scooter","1","7","4","Je pense que le Tele travail est très intéressant pour certaines taches mais les échanges humains en présentiel me semble important pour les échange et l’avancement de certaines tâches. ","Un peu","Au moins 1 an","La fibre ! Et sinon des chaises adaptés et confortables. Et aussi ne pas oublier les pauses ! ","Se laver les mains, faire attention lorsque l’on éternue ou l’on tousse ! "
"2020/06/15 10:50:50 PM UTC+2","1","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","18 - 25 ans","En couple","2","En milieu urbain","En maison avec jardin","En transport en commun","6","6","5","Moins de distractions","Un peu","Jusqu'à l'arrivée d'un vaccin","",""
"2020/06/16 9:20:33 AM UTC+2","1","Cadre ou profession intellectuelle supérieure","Bac+3/4 (Licence, Maîtrise)","Masculin","36 - 50 ans","En couple","3","En milieu rural","En maison avec jardin","En transport en commun","1","5","4","","Un peu","Au moins 3 mois","",""
"2020/06/16 10:57:20 AM UTC+2","5","Chef d’entreprise","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","26 - 35 ans","Célibataire","1","En milieu urbain","En appartement","En voiture / moto / scooter","1","4","2","Pas d’accès au produit physique, les décisions d’équipes sont moins rapide et moins bonnes","Un peu","Au moins 3 mois","Que tous les collaborateurs d’une société aient un espace dédié chez eux. ","Masque pour les réunions + gel hydroalcoolique à l’entrée du bâtiment "
"2020/06/16 11:05:44 AM UTC+2","1","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","26 - 35 ans","En couple","3","En milieu urbain","En maison","À vélo","2","2","2","","Un peu","Au moins 6 mois","",""
"2020/06/16 11:08:00 AM UTC+2","1","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","26 - 35 ans","En couple","2","En milieu périurbain","En maison avec jardin","En voiture / moto / scooter","1","4","4","Ça a les avantages de ses inconvénients","Un peu","Jusqu'à l'arrivée d'un vaccin","Des journées sur site de temps en temps","Des mesures systémiques à plus grande échelle"
"2020/06/16 11:28:54 AM UTC+2","2","Employé","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","36 - 50 ans","En couple","3","En milieu urbain","En appartement","En transport en commun","1","7","4","Nouveau paradigme","Un peu","Au moins 3 mois","L'évolution de la  perception des employeurs.",""
"2020/06/16 11:32:04 AM UTC+2","2","Etudiant, lycéen","Bac (général, pro et technologique)","Masculin","18 - 25 ans","Célibataire","1","En milieu urbain","En appartement","En transport en commun","2","5","4","","Un peu","Jusqu'à l'arrivée d'un vaccin","","Application des gestes barrières"
"2020/06/16 12:27:33 PM UTC+2","1","Employé","Bac (général, pro et technologique)","Masculin","18 - 25 ans","Célibataire","4","En milieu périurbain","En maison avec jardin","En voiture / moto / scooter","1","4","3","Possibilité d'être distrait plus simplement en télétravail ","Un peu","Au moins 3 mois","Assuré un espace de travail adaptés pour éviter tout dérangement, distraction, etc... ","Réduire le nombre de visiteurs aux écuries (je suis travaille dans un centre équestre) "
"2020/06/16 3:40:09 PM UTC+2","1","Agriculteur","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","51 - 62 ans","En couple","5 ou plus","En milieu rural","En maison avec jardin","En voiture / moto / scooter","1","1","1","Je ne pratique pas le télétravail étant donné mon métier.","Un peu","Au moins 1 an","Cela ne me concerne pas car la traite ne se fait pas en télétravail.","Je ne suis pas concerné "
"2020/06/16 7:35:52 PM UTC+2","1","Agriculteur","Bac+2 (BTS ou autre)","Féminin","36 - 50 ans","En couple","3","En milieu rural","En maison","En voiture / moto / scooter","1","4","1","Pas de télétravail possible en élevage ","Un peu","Jusqu'à l'arrivée d'un vaccin","","Respect des gestes barrières "
"2020/06/16 7:40:32 PM UTC+2","1","Chef d’entreprise","Bac+2 (BTS ou autre)","Masculin","36 - 50 ans","En couple","3","En milieu rural","En maison avec jardin","En voiture / moto / scooter","1","1","1","Mon activité ne ma pas permis de faire du télétravail","Un peu","Jusqu'à l'arrivée d'un vaccin","","Respect des geste barrières "
"2020/06/16 9:11:35 PM UTC+2","7","Demandeur d’emploi","CAP/BEP (autres diplômes techniques)","Féminin","51 - 62 ans","Célibataire","1","En milieu rural","En maison","En voiture / moto / scooter","1","5","1","","Jamais","0 c'est inutile","",""
"2020/06/17 4:24:38 PM UTC+2","1","Etudiant, lycéen","Bac+2 (BTS ou autre)","Masculin","18 - 25 ans","Célibataire","1","En milieu urbain","En appartement","En voiture / moto / scooter","1","4","5","","Un peu","Jusqu'à l'arrivée d'un vaccin","",""
"2020/06/17 4:41:27 PM UTC+2","1","Etudiant, lycéen","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Féminin","18 - 25 ans","Célibataire","1","En milieu urbain","En appartement","En transport en commun","1","7","4","","Un peu","Au moins 3 mois","",""
"2020/06/17 6:33:31 PM UTC+2","2","Commerçant","Bac (général, pro et technologique)","Masculin","18 - 25 ans","Célibataire","2","En milieu rural","En maison avec jardin","En voiture / moto / scooter","1","3","1","Je ne peux pas démarcher les clients aussi facilement qu'en porte à porte.","Un peu","Au moins 1 an","Les connexions internets et outils de travails.",""
"2020/06/18 3:30:50 PM UTC+2","7","Demandeur d’emploi","Brevet des collèges","Féminin","36 - 50 ans","En couple","2","En milieu urbain","En appartement","En transport en commun","7","7","7","La sécurité d'être à la maison ","Un peu","Jusqu'à l'arrivée d'un vaccin","","La sécurité "
"2020/06/20 7:08:52 PM UTC+2","2","Employé","Brevet des collèges","Masculin","62 ans et plus","En couple","2","En milieu rural","En maison avec jardin","En voiture / moto / scooter","3","5","4","Oui et non ","Un peu","Jusqu'à l'arrivée d'un vaccin","",""
